"Time","Closts","Bifidos","Desulfos","Bacteroides"
669,768,19217,53,4621
670,769,19241,53,4625
671,771,19266,53,4629
672,772,19298,53,4633
673,772,19331,53,4639
674,772,19352,52,4644
675,772,19374,52,4645
676,774,19398,52,4653
677,776,19414,52,4661
678,778,19429,52,4662
679,780,19459,51,4665
680,780,19489,51,4667
681,780,19496,51,4670
682,780,19501,50,4672
683,780,19497,50,4668
684,779,19488,50,4659
685,778,19497,50,4657
686,778,19513,50,4659
687,778,19526,50,4660
688,779,19554,50,4662
689,783,19580,50,4667
690,789,19618,50,4672
691,792,19648,50,4678
692,792,19671,50,4680
693,793,19692,50,4682
694,794,19707,50,4688
695,796,19721,50,4695
696,794,19741,50,4691
697,790,19765,51,4696
698,788,19760,51,4698
699,789,19752,50,4696
700,790,19759,50,4693
701,789,19770,50,4695
702,790,19768,50,4693
703,791,19779,50,4689
704,792,19789,50,4682
705,793,19781,50,4683
706,790,19780,50,4692
707,790,19797,50,4698
708,790,19807,50,4697
709,793,19818,50,4697
710,793,19829,50,4702
711,795,19850,50,4704
712,797,19892,50,4712
713,795,19936,50,4721
714,795,19969,50,4730
715,795,19996,50,4735
716,796,20026,50,4738
717,798,20059,50,4740
718,799,20089,50,4748
719,801,20119,50,4757
720,802,20134,50,4757
721,802,20128,50,4756
722,801,20108,50,4746
723,800,20095,50,4738
724,801,20070,50,4733
725,800,20063,50,4726
726,801,20056,50,4724
727,801,20062,50,4732
728,802,20070,50,4737
729,804,20082,50,4740
730,805,20094,50,4747
731,804,20104,50,4751
732,803,20102,50,4749
733,804,20083,50,4754
734,802,20065,50,4751
735,799,20029,50,4745
736,797,20005,50,4739
737,802,19994,50,4739
738,807,19999,51,4732
739,806,19988,50,4732
740,805,19967,50,4734
741,805,19940,50,4728
742,804,19923,50,4726
743,801,19900,50,4726
744,800,19873,49,4718
745,799,19856,49,4712
746,798,19846,49,4700
747,800,19839,49,4695
748,799,19833,49,4690
749,797,19813,49,4693
750,796,19798,49,4692
751,795,19787,48,4695
752,796,19780,47,4693
753,794,19771,47,4695
754,793,19751,47,4693
755,793,19748,47,4689
756,791,19729,47,4689
757,788,19715,47,4692
758,790,19696,47,4690
759,790,19685,47,4684
760,788,19679,47,4687
761,788,19688,47,4688
762,788,19695,47,4690
763,790,19685,46,4693
764,790,19665,46,4693
765,790,19647,47,4690
766,789,19634,47,4675
767,786,19614,47,4672
768,784,19597,47,4667
769,782,19577,47,4670
770,780,19564,45,4666
771,779,19544,45,4673
772,779,19518,45,4676
773,779,19492,45,4668
774,777,19479,45,4661
775,777,19469,45,4653
776,776,19436,45,4651
777,773,19409,45,4642
778,773,19387,45,4638
779,777,19368,45,4630
780,778,19370,45,4628
781,778,19367,44,4620
782,782,19365,42,4620
783,783,19366,41,4626
784,783,19381,42,4638
785,783,19374,43,4645
786,782,19372,43,4644
787,782,19365,43,4643
788,781,19356,42,4639
789,781,19342,42,4637
790,781,19323,42,4632
791,781,19312,41,4627
792,782,19282,41,4619
793,782,19242,40,4602
794,782,19201,39,4599
795,783,19167,39,4597
796,781,19131,38,4590
797,783,19096,37,4584
798,783,19068,37,4574
799,781,19031,37,4565
800,780,19002,37,4556
801,779,18991,37,4553
802,774,18982,36,4548
803,775,18983,36,4551
804,780,18988,36,4555
805,783,18987,36,4555
806,783,18998,36,4552
807,786,18985,36,4546
808,786,18965,36,4546
809,783,18947,36,4538
810,779,18922,36,4532
811,777,18897,37,4529
812,778,18878,38,4528
813,781,18871,38,4524
814,785,18862,39,4527
815,788,18852,39,4528
816,792,18851,39,4534
817,793,18858,39,4533
818,794,18857,39,4531
819,795,18859,39,4537
820,796,18856,39,4538
821,795,18864,39,4537
822,794,18845,39,4535
823,790,18823,39,4528
824,787,18794,38,4525
825,786,18755,38,4509
826,783,18705,37,4502
827,783,18671,37,4489
828,783,18628,37,4475
829,783,18605,37,4470
830,784,18586,37,4469
831,783,18570,37,4467
832,783,18575,37,4469
833,780,18565,37,4466
834,778,18560,37,4462
835,776,18551,37,4464
836,776,18542,37,4466
837,780,18536,37,4467
838,784,18517,37,4464
839,786,18506,37,4464
840,787,18479,37,4458
841,787,18453,37,4459
842,787,18423,37,4454
843,787,18386,37,4446
844,793,18359,37,4440
845,797,18324,37,4421
846,795,18288,37,4412
847,791,18262,37,4404
848,789,18232,37,4394
849,787,18228,36,4393
850,786,18226,35,4386
851,788,18214,35,4385
852,789,18201,35,4381
853,788,18170,35,4376
854,787,18149,35,4370
855,783,18113,35,4355
856,778,18086,35,4346
857,774,18060,34,4332
858,773,18044,34,4325
859,772,18040,34,4317
860,772,18030,33,4309
861,771,18010,33,4304
862,774,17988,33,4298
863,772,17950,33,4293
864,772,17934,33,4293
865,771,17922,32,4290
866,773,17905,31,4291
867,777,17903,30,4290
868,777,17899,30,4298
869,779,17887,30,4299
870,780,17880,30,4295
871,780,17876,30,4300
872,781,17865,30,4300
873,782,17848,30,4290
874,782,17839,28,4281
875,780,17829,28,4276
876,780,17823,28,4263
877,776,17820,28,4248
878,772,17797,28,4245
879,769,17793,28,4240
880,769,17774,28,4228
881,771,17747,28,4224
882,770,17719,28,4216
883,764,17698,28,4213
884,764,17673,28,4204
885,762,17627,28,4199
886,763,17578,27,4194
887,767,17568,27,4195
888,773,17574,27,4192
889,778,17593,27,4195
890,778,17608,27,4192
891,777,17628,27,4192
892,776,17649,27,4190
893,776,17661,27,4196
894,777,17669,27,4206
895,778,17681,27,4210
896,782,17705,27,4213
897,787,17740,27,4216
898,788,17759,26,4217
899,788,17769,26,4215
900,789,17773,26,4213
901,790,17780,26,4210
902,790,17785,26,4213
903,790,17793,26,4217
904,790,17817,26,4221
905,790,17841,26,4223
906,789,17867,26,4228
907,789,17897,26,4231
908,790,17912,26,4235
909,790,17929,26,4244
910,790,17943,26,4251
911,791,17957,26,4255
912,792,17984,26,4259
913,792,18010,26,4271
914,792,18045,26,4280
915,792,18076,26,4288
916,792,18111,26,4297
917,794,18147,26,4301
918,795,18166,26,4305
919,794,18185,26,4318
920,794,18203,26,4324
921,794,18222,25,4326
922,794,18235,25,4326
923,794,18253,25,4328
924,794,18265,25,4332
925,797,18270,25,4337
926,800,18277,25,4338
927,803,18285,25,4343
928,804,18303,25,4345
929,804,18329,25,4349
930,804,18353,25,4353
931,804,18373,26,4360
932,803,18387,27,4364
933,802,18407,27,4373
934,802,18428,27,4378
935,802,18448,27,4383
936,802,18463,27,4389
937,802,18485,27,4395
938,801,18501,27,4393
939,801,18504,27,4398
940,803,18525,27,4406
941,806,18543,27,4411
942,806,18568,27,4415
943,807,18587,27,4421
944,808,18611,27,4421
945,808,18631,27,4426
946,808,18652,27,4427
947,809,18670,27,4433
948,812,18693,27,4440
949,814,18705,28,4442
950,814,18727,28,4443
951,813,18745,28,4446
952,813,18769,28,4455
953,814,18792,28,4452
954,815,18817,28,4455
955,817,18851,28,4458
956,816,18868,28,4467
957,817,18866,28,4474
958,817,18877,28,4480
959,817,18888,29,4484
960,815,18902,29,4485
961,815,18909,29,4487
962,816,18926,29,4486
963,817,18942,28,4489
964,819,18962,28,4498
965,820,18964,28,4505
966,821,18974,28,4513
967,821,18989,28,4522
968,824,19004,28,4527
969,825,19025,28,4533
970,826,19047,28,4536
971,825,19060,28,4545
972,826,19083,28,4553
973,827,19100,28,4554
974,827,19115,28,4566
975,827,19128,28,4576
976,827,19140,28,4580
977,827,19156,28,4585
978,826,19175,28,4589
979,828,19182,28,4589
980,829,19200,28,4591
981,829,19217,28,4597
982,830,19253,28,4607
983,832,19280,28,4618
984,833,19284,28,4629
985,834,19296,28,4637
986,834,19323,28,4639
987,833,19350,28,4649
988,833,19377,28,4655
989,833,19412,28,4664
990,834,19441,28,4673
991,834,19447,29,4678
992,835,19450,29,4681
993,835,19456,29,4683
994,835,19457,29,4684
995,835,19468,29,4690
996,834,19488,29,4699
997,834,19506,29,4707
998,834,19528,29,4713
999,834,19554,29,4718
1000,833,19574,29,4718
1001,833,19600,29,4719
1002,833,19630,29,4721
1003,831,19661,28,4725
1004,830,19686,28,4728
1005,829,19702,28,4729
1006,830,19725,28,4739
1007,832,19733,28,4747
1008,834,19728,28,4748
1009,837,19741,28,4748
1010,836,19761,28,4748
1011,835,19779,28,4743
